Type;Fuel;Segment;Euro Standart;Road Slope;Load;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.00;0.5;-0.000621524685713782;0.063111769215773;3.20870631875104;-0.272082940948632;-0.000389954773863806;0.0411909703317321;0.189950045567999;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.00;1.00;-0.000724760755313607;0.069172405148352;3.74081034062421;-0.671275952945677;-0.000396349178494917;0.0416837658774348;0.216257866617528;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.04;0.00;-0.00107092160500731;0.238169485839469;3.84182124088095;-0.295091132054199;-0.000379655429979005;0.0535526763435081;0.188525334959465;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.04;0.5;-0.000348164726072681;0.191054035513274;3.73284337518652;0.438009853938371;-0.000204653132796211;0.0359631227434704;0.207325475211885;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.04;1.00;-0.00052346006751242;0.454222906299092;7.49285384705508;0.457616730903574;-0.000304687315256641;0.066826989041091;0.380535735332503;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;-0.04;0.00;0.000728641189193761;-0.104564585725619;4.99986610323971;4.90829915561395;-0.000665900791988867;0.0617837733248973;0.661603743186532;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;-0.04;0.5;-0.00472178731231875;1.20367364074342;-5.85299127636021;10.8087842372277;0.0259645580576456;-0.121481480014216;0.332122356419496;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;-0.04;1.00;-0.00865761172675186;1.3416693450653;-6.31871614757616;11.1322001875057;0.0257533651598562;-0.111352454307622;0.308598252461335;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.00;0.00;-0.000679537636418452;0.0806233071594756;4.72467428405007;-0.212495097972786;-0.000550444035473241;0.0596049577226411;0.346681630155152;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.00;0.5;-0.000532540114823203;0.0583365453606058;3.44927400310417;-0.962468286815133;-0.000359914693043837;0.0389400456922216;0.22236975267125;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.00;1.00;-0.000564747884873974;0.0571182876046397;3.45802367154801;-1.4198036163458;-0.000322444724815271;0.0346848877604342;0.205643981778366;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.04;0.00;-0.000558616766488185;0.190459367462499;4.21516669761394;0.0677698580997867;-0.000284818036546952;0.0436458676285172;0.258981382030615;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.04;0.5;-0.00033482243431063;0.216508525616801;4.00669484509947;0.066834661080726;-0.000190891915046012;0.0375362837689924;0.21968147829077;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.04;1.00;0.0103296705240707;0.114475235144819;8.36122460560389;2.11971420746444;0.000801651283829053;0.0281651222124539;0.510667421043921;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;-0.04;0.00;0.000689829088118974;-0.101070712117111;4.82861230144357;4.97269620519351;-0.000644944088202244;0.0593526962964968;0.636757930037592;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;-0.04;0.5;-0.00524066041882713;1.15786628459148;-5.48429419747846;9.98995708687857;0.024166780398838;-0.106578950922126;0.292855788453451;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;-0.04;1.00;-0.00887596196510365;1.321315487476;-6.15351687229368;10.7685642392367;0.0249762656623312;-0.104634928491623;0.289220291490114;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;0.00;0.00;-0.000813629195843293;0.085477050680279;5.07895344821546;-0.0544793928425726;-0.000607207566981698;0.0641765515703272;0.373219732552189;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;0.00;0.5;-0.000533327603651844;0.0527148851639813;3.18884506194298;-0.761492422678747;-0.000341021938389725;0.0360471183675376;0.207004019659096;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;0.00;1.00;-0.000694634923140133;0.0641715676413868;3.982190391656;-1.5263836172733;-0.00038173332848883;0.0401224960061162;0.237683328012231;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;0.04;0.00;-0.00054792980399282;0.151552436692253;3.39747032988042;0.0524835937136316;-0.000241107457547308;0.0354860359252393;0.207928945408464;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;0.04;0.5;-0.00163907099313823;0.470404335046216;8.18182743942369;-0.228519504214314;-0.000506392853362347;0.0821304308757442;0.433048953785884;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI A/B/C;0.04;1.00;0.00600744075951552;0.265448752501307;8.62960906040637;1.51266903136838;0.000372447082707678;0.0459238444407125;0.494948328299639;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;-0.04;0.00;0.000689829088118974;-0.101070712117111;4.82861230144357;4.97269620519351;-0.000644944088202244;0.0593526962964968;0.636757930037592;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;-0.04;0.5;-0.00524066041882713;1.15786628459148;-5.48429419747846;9.98995708687857;0.024166780398838;-0.106578950922126;0.292855788453451;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;-0.04;1.00;-0.00887596196510365;1.321315487476;-6.15351687229368;10.7685642392367;0.0249762656623312;-0.104634928491623;0.289220291490114;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;0.00;0.00;-0.000813629195843293;0.085477050680279;5.07895344821546;-0.0544793928425726;-0.000607207566981698;0.0641765515703272;0.373219732552189;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;0.00;0.5;-0.000533327603651844;0.0527148851639813;3.18884506194298;-0.761492422678747;-0.000341021938389725;0.0360471183675376;0.207004019659096;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;0.00;1.00;-0.000694634923140133;0.0641715676413868;3.982190391656;-1.5263836172733;-0.00038173332848883;0.0401224960061162;0.237683328012231;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;0.04;0.00;-0.00054792980399282;0.151552436692253;3.39747032988042;0.0524835937136316;-0.000241107457547308;0.0354860359252393;0.207928945408464;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;0.04;0.5;-0.00163907099313823;0.470404335046216;8.18182743942369;-0.228519504214314;-0.000506392853362347;0.0821304308757442;0.433048953785884;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro VI D/E;0.04;1.00;0.00600744075951552;0.265448752501307;8.62960906040637;1.51266903136838;0.000372447082707678;0.0459238444407125;0.494948328299639;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;-0.04;0.00;-0.000196080746193788;0.114890658245614;12.8602814132034;-40.2828943727724;0.00293283205579981;0.0622365821634585;0.0217384281602062;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;-0.04;0.5;0.000228709814769505;-0.0658357019004196;5.43739714215912;26.4930193803231;0.000168904273858642;0.028517621037944;0.409985754037072;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;-0.04;1.00;0.000318445657719296;-0.0843050109106955;6.25658701886577;24.0708190608988;0.000241354561296737;0.0266880921292669;0.478729479698695;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;0.00;0.00;0.0000843400470251711;0.0208247050815743;1.9202885730593;10.0630572086522;-0.0000405286047286069;0.0110653154203631;0.0847050448146954;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;0.00;0.5;0.0000396867384515021;0.0118576369028565;1.0855987385383;5.94625738972775;-0.0000187860913801782;0.00547118833263837;0.0512499683893182;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;0.00;1.00;6.73356526412028E-06;0.0219828200051526;1.58887977095237;3.53486812863145;-0.0000316594687847996;0.00828896276766816;0.0391991778467757;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;0.04;0.00;0.000186373399513769;0.0401384376902938;2.27709307182928;6.74165025730156;-0.0000389335863550034;0.00917518294599897;0.0690512484570854;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;0.04;0.5;0.000125188653533672;0.0439911117115891;2.25726870460153;6.45345073328388;-0.0000231978794880464;0.00636099177662511;0.0815229662484354;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Conventional;0.04;1.00;0.000291927073639086;0.129624382395864;5.43199986950322;11.7332282956813;-0.0000521510641602241;0.0136834586196731;0.174266749729524;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;-0.04;0.00;-0.000149062943110897;0.0835819565685018;10.0231791771883;-32.154604275051;0.00279313461438253;0.0580537589444544;0.0554084729527062;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;-0.04;0.5;0.000129249953776142;-0.0368163945742363;3.0037097023722;13.2601826919683;0.000104619786308882;0.0182853373767301;0.282985157437243;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;-0.04;1.00;0.000227955163287145;-0.060196748821665;4.45803332047661;14.9052006752461;0.000189929315840933;0.0214692027092505;0.419507652632395;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;0.00;0.00;0.000135759561176676;0.0232004495215564;1.92576576953792;9.10286990786154;-0.000061000675078938;0.0147312341113201;0.0974198003728839;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;0.00;0.5;0.00016627591468472;0.0370730037753984;3.15349985195868;18.0625568580023;-0.0000682526221478143;0.0188006270407951;0.202604466458341;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;0.00;1.00;0.0000525172389000476;0.0207281934429373;1.63465780608617;7.49951979504797;-0.000028464916826256;0.00853389196193718;0.0907387240543127;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;0.04;0.00;0.000151619951124192;0.0287386732992681;1.70581952648407;6.32482004399684;-0.0000249021565316962;0.00642208969435793;0.0917586283361148;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;0.04;0.5;0.000248162753408632;0.126833676621294;5.64041745210689;12.3897811122563;-0.00005841188133623;0.0173587833377576;0.245798798778684;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro I;0.04;1.00;0.0000575735830137283;0.0841294504128948;3.01496602493833;4.7302096106738;-0.000029658666692902;0.00839264586970268;0.11134440641468;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;-0.04;0.00;-0.000139510295024604;0.0834157073023403;9.04773493920552;-28.8503756650493;0.00270368131675447;0.0604792432496913;0.0673520436958464;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;-0.04;0.5;0.00030460009843766;-0.0876975094414999;7.26624552310933;30.3771054595091;0.000228778047426608;0.0476306435381382;0.763438390206176;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;-0.04;1.00;0.000207067137658665;-0.0553812022368344;4.17109114124695;12.909397870287;0.000169403233694894;0.0213915673035987;0.434147954705169;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;0.00;0.00;0.00015767744521493;0.0251811691172794;1.99366882008412;9.77368004444536;-0.0000690561710094137;0.0162466047596605;0.1196909237363;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;0.00;0.5;0.0000838578807866631;0.0186432899756585;1.49710297640021;8.03007669934659;-0.0000346773938112034;0.0094283189955718;0.103604220369149;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;0.00;1.00;0.0000641451462745308;0.027820028610307;2.06223546599917;8.77383574944371;-0.0000372377780142935;0.0112124754454383;0.123712671532532;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;0.04;0.00;0.00014455148516591;0.0298589007589976;1.65767794698739;5.46716825746787;-0.0000244341192262244;0.00645025395237468;0.094978849355054;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;0.04;0.5;0.000302665294638928;0.104594991404029;4.69339474504606;10.638209537404;-0.0000511807423336815;0.0148040561941093;0.220763559990408;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro II;0.04;1.00;0.00843246471402337;0.816873801730601;2.18573911770492;4.07165911717051;0.000532791880504834;0.0547450599940401;-0.0730113488718831;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro III;-0.04;0.00;-0.000146845826265322;0.114709355243108;9.29092557319327;-26.8400323785798;0.00243672493302434;0.0651406248908034;0.0140905648299878;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro III;-0.04;0.5;0.000115064858173355;-0.035444511722268;3.22205245213129;15.2161804126998;0.0000433585296735133;0.0210922972355368;0.306060372999801;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro III;-0.04;1.00;0.000349536657019495;-0.100489457841352;8.32518870294343;30.204967357784;0.000178741893962997;0.0443652410313084;0.794249584134658;;;;;;
heavyCommercial;Diesel;rigid7.5a12;Euro III;0.00;0.00;0.000137993239795452;0.0235118899292253;1.90431381346894;9.4153220415597;-0.0000596409896534854;0.0143492690842088;0.105501884607946;;;;;;
